timestamp,x,y,yaw_rad,yaw_deg,tilt_rad,tilt_deg
1747884670325,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747884670825,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747884671325,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747884671825,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747884672324,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747884672825,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747884673324,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747884673826,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747884674325,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747884674825,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747884675326,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747884675826,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747884676326,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747884676826,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747884677326,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747884677824,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747884678325,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747884678824,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747884679325,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747884679826,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747884680326,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
