timestamp,x,y,yaw_rad,yaw_deg,tilt_rad,tilt_deg
1747624903154,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747624903653,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747624904153,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747624904654,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747624905155,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747624905654,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747624906154,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747624906654,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747624907154,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747624907654,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747624908154,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747624908654,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747624909154,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747624909654,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747624910155,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747624910655,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747624911155,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747624911655,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747624912155,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747624912654,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747624913155,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747624913654,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747624914153,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747624914654,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747624915155,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747624915654,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747624916154,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747624916655,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747624917155,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747624917655,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747624918154,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747624918655,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747624919154,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747624919655,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747624920155,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747624920654,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747624921155,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747624921655,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747624922155,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747624922654,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747624923154,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747624923654,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747624924154,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747624924654,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747624925155,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747624925655,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747624926154,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747624926655,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747624927155,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747624927655,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747624928154,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747624928655,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747624929154,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747624929655,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747624930155,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747624930654,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747624931154,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747624931655,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747624932155,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747624932655,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747624933155,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747624933655,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747624934155,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747624934655,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747624935155,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747624935655,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747624936155,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747624936655,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747624937154,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747624937655,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747624938154,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747624938655,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
