timestamp,x,y,yaw_rad,yaw_deg,tilt_rad,tilt_deg
1747625077970,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747625078471,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747625078971,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747625079472,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747625079971,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747625080471,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747625080972,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747625081472,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747625081972,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747625082472,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747625082972,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747625083472,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747625083970,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747625084472,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747625084971,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747625085472,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747625085972,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747625086471,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747625086972,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747625087471,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747625087972,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747625088471,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747625088971,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747625089471,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747625089972,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747625090471,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747625090971,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747625091471,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747625091971,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747625092471,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747625092972,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747625093471,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747625093971,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747625094471,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747625094971,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747625095471,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747625095973,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747625096471,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747625096972,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747625097471,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747625097972,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747625098471,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747625098972,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747625099472,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747625099971,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747625100472,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747625100972,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747625101472,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747625101971,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747625102472,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747625102971,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747625103471,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747625103971,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747625104473,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747625104972,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747625105472,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747625105971,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747625106472,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747625106972,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747625107472,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747625107970,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747625108472,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
