timestamp,x,y,yaw_rad,yaw_deg,tilt_rad,tilt_deg
1747883375897,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747883376398,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747883376898,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747883377399,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747883377899,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747883378397,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747883378898,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747883379398,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747883379899,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747883380399,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747883380899,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747883381399,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747883381899,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747883382398,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747883382899,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747883383399,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747883383899,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747883384399,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747883384899,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747883385398,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747883385897,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1747883386398,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
